ticket,symbol,type,volume,price_open,sl,tp,price_current,profit,swap,comment,time
373077092,USDCAD.p,SELL,0.02,1.3878,0.0,0.0,1.39957,-16.82,-0.73,E25/T4,2026-09-11 17:45:47
374101086,USDSGD.p,SELL,0.01,1.2681,0.0,1.26958,1.27599,-6.18,-0.61,E25/T4,2026-09-14 04:06:20
374863618,EURSGD.p,BUY,0.04,1.46615,0.0,0.0,1.46482,-4.17,-0.32,E25/T4,2026-09-14 11:15:00
375304223,USDCAD.p,SELL,0.04,1.39136,0.0,0.0,1.39957,-23.46,-1.21,E25/T4,2026-09-14 15:31:54
375386863,USDSGD.p,SELL,0.01,1.27196,0.0,1.26958,1.27599,-3.16,-0.61,E25/T4,2026-09-14 16:00:00
376399855,NZDCAD.p,BUY,0.04,0.80111,0.0,0.0,0.80093,-0.51,-0.06,E25/T4,2026-09-15 05:45:00
376437157,NZDSGD.p,BUY,0.08,0.73185,0.0,0.0,0.73023,-10.16,-0.04,E25/T4,2026-09-15 06:30:00
377040308,EURNZD.p,SELL,0.08,2.0059,0.0,0.0,2.00601,-0.5,-0.11,E25/T4,2026-09-15 16:15:00
377040365,AUDNZD.p,SELL,0.16,1.23828,0.0,0.0,1.24475,-59.24,-3.82,E25/T4,2026-09-15 16:15:00
378365708,GBPUSD.p,BUY,0.01,1.34671,0.0,0.0,1.33689,-9.82,-0.04,E25/T4,2026-09-16 13:52:27
378501780,GBPSGD.p,BUY,0.01,1.7132800000000001,0.0,0.0,1.7058,-5.86,0.07,E25/T4,2026-09-16 15:45:00
378985574,EURUSD.p,BUY,0.01,1.15157,0.0,0.0,1.1480299999999999,-3.54,-0.23,E25/T4,2026-09-16 21:01:35
379075405,USDCAD.p,SELL,0.08,1.39602,0.0,0.0,1.39957,-20.29,-1.63,E25/T4,2026-09-16 21:15:00
379075495,GBPUSD.p,BUY,0.01,1.34117,0.0,0.0,1.33689,-4.28,-0.04,E25/T4,2026-09-16 21:15:01
379298996,GBPSGD.p,BUY,0.01,1.70965,0.0,0.0,1.7058,-3.02,0.07,E25/T4,2026-09-16 22:00:00
379343018,GBPAUD.p,BUY,0.01,1.8885100000000001,0.0,0.0,1.8766699999999998,-8.43,-0.27,E25/T4,2026-09-16 22:09:16
379541820,EURSGD.p,BUY,0.08,1.46264,0.0,0.0,1.46482,13.67,-0.11,E25/T4,2026-09-17 00:22:35
379984572,AUDCAD.p,SELL,0.01,0.9944,0.0,0.0,0.99698,-1.8399999999999999,-0.06,E25/T4,2026-09-17 08:45:00
379997310,AUDJPY.p,SELL,0.01,110.653,0.0,0.0,111.95,-8.25,-0.08,E25/T4,2026-09-17 08:55:55
380091817,AUDSGD.p,SELL,0.01,0.90718,0.0,0.90676,0.90897,-1.4,-0.09,E25/T4,2026-09-17 10:15:00
380248692,AUDUSD.p,SELL,0.01,0.71126,0.0,0.71083,0.71239,-1.13,-0.02,E25/T4,2026-09-17 12:30:00
380361877,GBPSGD.p,BUY,0.02,1.70516,0.0,0.0,1.7058,1.0,0.03,E25/T4,2026-09-17 14:15:00
380772964,CADJPY.p,SELL,0.01,111.416,0.0,0.0,112.311,-5.6899999999999995,-0.04,E25/T4,2026-09-17 17:45:33
381107644,EURCAD.p,SELL,0.01,1.6055899999999999,0.0,1.60515,1.60669,-0.79,-0.02,E25/T4,2026-09-17 23:00:06
381122051,USDJPY.p,SELL,0.01,155.967,0.0,0.0,157.157,-7.57,-0.13,E25/T4,2026-09-17 23:30:00
381271433,GBPJPY.p,SELL,0.01,208.674,0.0,0.0,210.111,-9.14,0.0,E25/T4,2026-09-18 04:00:00
381317240,AUDJPY.p,SELL,0.01,111.189,0.0,0.0,111.95,-4.84,0.0,E25/T4,2026-09-18 04:30:00
381407678,SGDJPY.p,SELL,0.01,122.906,0.0,0.0,123.191,-1.81,0.0,E25/T4,2026-09-18 05:55:55
381407903,CHFJPY.p,SELL,0.01,190.131,0.0,0.0,190.678,-3.48,0.0,E25/T4,2026-09-18 05:56:03
381413404,USDJPY.p,SELL,0.01,156.655,0.0,0.0,157.157,-3.19,0.0,E25/T4,2026-09-18 06:00:00
381413494,CADJPY.p,SELL,0.01,112.044,0.0,0.0,112.311,-1.7,0.0,E25/T4,2026-09-18 06:00:00
381419599,GBPNZD.p,SELL,0.01,2.33711,0.0,0.0,2.33601,0.63,0.0,E25/T4,2026-09-18 06:04:59
381430273,AUDNZD.p,SELL,0.32,1.24613,0.0,0.0,1.24475,25.27,0.0,E25/T4,2026-09-18 06:15:00
381453609,EURCHF.p,SELL,0.01,0.94663,0.0,0.0,0.94654,0.11,0.0,E25/T4,2026-09-18 06:30:00
381497166,EURAUD.p,BUY,0.01,1.6107399999999998,0.0,0.0,1.61157,0.59,0.0,E25/T4,2026-09-18 07:15:00
